"Date","Q_P1","Q_P2","Q_P3","Q_P4","Q_P5","Q_P6","Q_P7","Q_P8","price_P1","price_P2","price_P3","price_P4","price_P5","price_P6","price_P7","price_P8"
"2016-09-25",10435.81,8240.77,7428.31,4736.72,10998.13,31407.24,6150.97,13779.88,2.11,5.17,2.41,4.03,5.81,3.74,4.05,2.09
"2016-10-02",9329.9,7104.73,7436.82,4525.64,10781.69,31590.56,6503.62,12731.18,2.16,5.33,2.43,4.02,5.78,3.74,4.01,2.08
"2016-10-09",8113.71,6554.08,6967.51,4434.44,10535.43,30377.8,7448.76,14182.61,2.17,5.39,2.43,4.01,5.78,3.73,3.73,1.95
"2016-10-16",8545.75,6901.22,6927.91,4477.84,10685.84,31116.45,7643.16,14924.92,2.14,5.32,2.44,4.02,5.71,3.74,3.66,2.02
"2016-10-23",8200.7,6624.8,6757.23,4371.58,11670.29,30447.26,6824.46,14573.77,2.16,5.37,2.45,3.98,5.51,3.75,3.75,2.27
"2016-10-30",8956.81,5855.77,7163.16,4647.6,10915.52,30125.81,6092.98,13571.1,2.11,5.56,2.41,4.01,5.63,3.76,4,2.34
"2016-11-06",9436.6,5975.24,7233.72,4539.41,10985.02,30263.35,5620.36,12073.14,2.09,5.7,2.4,4.02,5.77,3.74,4.15,2.32
"2016-11-13",9240.54,7160.74,7098.25,4465.96,10892.7,30760.77,5624.44,11370.57,2.1,5.52,2.41,4.02,5.78,3.75,4.12,2.36
"2016-11-20",9332.24,8001.87,6822.62,4348.35,10858.46,32325.66,5393.4,11481.03,2.12,5.37,2.43,4.03,5.76,3.72,4.14,2.39
"2016-11-27",8965.4,7347.32,6730.52,4277.81,10673.01,30190.45,5419.44,13902.74,2.13,5.37,2.44,4.02,5.77,3.73,4.15,2.21
"2016-12-04",8685.25,7725.72,6834.72,4509.82,10481.05,30023.64,5484.03,19139.95,2.15,5.28,2.43,4.01,5.78,3.75,4.12,1.92
"2016-12-11",8332.63,7634.54,6803.58,4469.84,10658.34,30639.28,5652.95,16505.82,2.17,5.3,2.43,4.02,5.78,3.73,4.14,1.96
"2016-12-18",8404.72,7348.96,7083.52,4690.94,11301.96,31601.09,5694.06,11614.32,2.16,5.4,2.42,3.98,5.79,3.74,4.12,2.27
"2016-12-25",9348.44,9342.85,7997.06,5497.87,13866.93,40931.34,6670.55,12351.17,2.16,5.38,2.41,3.97,5.75,3.75,4.11,2.29
"2017-01-01",7978.37,6218.2,6686.17,4189.18,12666.83,29829.6,5478.73,11146.23,2.16,5.54,2.44,4.02,5.13,3.76,4.12,2.05
"2017-01-08",7545.37,6833.65,6013.81,4824.51,10901.24,28658.95,5319.88,11385.06,2.17,5.41,2.46,3.82,5.5,3.77,4.14,2.01
"2017-01-15",8687.1,6540.92,6444.45,4730.69,12138.03,29735.34,5443.27,13797.4,2.08,5.44,2.44,3.87,5.42,3.78,4.12,1.97
"2017-01-22",9192.66,5980.82,5910.69,4042.29,11867.29,29182.32,5148.81,12117.21,2.01,5.58,2.44,4.02,5.41,3.77,4.16,2.37
"2017-01-29",7930.27,6410.62,5729.67,4236.57,10009.33,28764.56,5570.98,11661.53,2.1,5.48,2.44,4.03,5.65,3.77,4.03,2.38
"2017-02-05",7975.78,8986.14,6139.34,4226.02,10195.74,30488.75,6307.9,11847.79,2.03,5.19,2.44,4.02,5.77,3.74,3.76,2.34
"2017-02-12",7881.05,8452.22,5879.16,4056.17,10422.37,28538.21,6112.23,10585.93,2.07,5.24,2.43,4.03,5.65,3.78,3.84,2.36
"2017-02-19",8361.38,7632.98,6261.12,4184.75,11651.15,29070.88,5376.96,11708.91,2.12,5.35,2.43,4.01,5.43,3.78,4.13,2.03
"2017-02-26",8472.7,7842,6336.11,4575.39,11067.41,29389.73,5930.35,12206.54,2.12,5.26,2.44,3.9,5.51,3.77,4,2.13
"2017-03-05",8231.14,8435.83,6080.81,5236.16,10174.37,28764.56,6870.01,11650.11,2.12,4.97,2.46,3.66,5.73,3.79,3.76,2.35
"2017-03-12",9198.53,7959.05,6514.57,5080.24,11172.5,30140.01,6889.59,13152.88,2.07,5.12,2.46,3.81,5.54,3.78,3.86,2.34
"2017-03-19",9770.58,6454.07,6431.14,4540.62,11249.63,29004.91,5900.85,12128.16,1.99,5.58,2.45,3.97,5.33,3.81,4.11,2.31
"2017-03-26",8985.82,6325.8,6615.02,5164.64,10975.17,28871.39,5636.86,11457.77,2.1,5.57,2.44,3.71,5.46,3.8,4.13,2.18
"2017-04-02",8386.97,7214.51,6383.54,4936.42,11783.5,29564.78,5747.13,13376.37,2.17,5.38,2.44,3.78,5.14,3.78,4.17,2
"2017-04-09",9715.06,8132.16,7147.74,4588.19,11779.68,29873.48,5742.62,13331.94,2.1,5.34,2.44,4.05,5.19,3.8,4.12,2.04
"2017-04-16",10383.17,8683.13,6427.88,4335.89,10717.74,29993.05,5731.16,12819.88,2.01,5.18,2.44,4.06,5.41,3.8,4.09,2.06
